#
# M e s s w e r t t a b e l l e  der Reihen:
#
# cudatsa.rng.RNGModuleACMR [40,40] Werte
# cudatsa.rng.RNGModuleACMS [40,40] Werte
# cudatsa.rng.RNGModuleJUR [40,40] Werte
#
#
#x	y	x	y	x	y	
100,00000	0,00000	100,00000	0,00000	100,00000	1,00000	
200,00000	0,00000	200,00000	1,00000	200,00000	0,00000	
300,00000	0,00000	300,00000	1,00000	300,00000	0,00000	
400,00000	0,00000	400,00000	1,00000	400,00000	0,00000	
500,00000	0,00000	500,00000	1,00000	500,00000	0,00000	
600,00000	0,00000	600,00000	1,00000	600,00000	0,00000	
700,00000	0,00000	700,00000	1,00000	700,00000	0,00000	
800,00000	0,00000	800,00000	1,00000	800,00000	0,00000	
900,00000	0,00000	900,00000	1,00000	900,00000	0,00000	
1000,00000	0,00000	1000,00000	1,00000	1000,00000	0,00000	
2000,00000	0,00000	2000,00000	1,00000	2000,00000	0,00000	
3000,00000	1,00000	3000,00000	1,00000	3000,00000	1,00000	
4000,00000	0,00000	4000,00000	2,00000	4000,00000	1,00000	
5000,00000	0,00000	5000,00000	4,00000	5000,00000	0,00000	
6000,00000	0,00000	6000,00000	4,00000	6000,00000	0,00000	
7000,00000	1,00000	7000,00000	4,00000	7000,00000	0,00000	
8000,00000	0,00000	8000,00000	5,00000	8000,00000	0,00000	
9000,00000	1,00000	9000,00000	7,00000	9000,00000	0,00000	
10000,00000	0,00000	10000,00000	6,00000	10000,00000	0,00000	
25000,00000	1,00000	25000,00000	13,00000	25000,00000	1,00000	
50000,00000	1,00000	50000,00000	27,00000	50000,00000	1,00000	
100000,00000	1,00000	100000,00000	43,00000	100000,00000	1,00000	
200000,00000	2,00000	200000,00000	83,00000	200000,00000	2,00000	
300000,00000	3,00000	300000,00000	140,00000	300000,00000	3,00000	
400000,00000	4,00000	400000,00000	166,00000	400000,00000	4,00000	
500000,00000	6,00000	500000,00000	209,00000	500000,00000	5,00000	
600000,00000	6,00000	600000,00000	260,00000	600000,00000	7,00000	
700000,00000	10,00000	700000,00000	331,00000	700000,00000	7,00000	
800000,00000	8,00000	800000,00000	372,00000	800000,00000	11,00000	
900000,00000	11,00000	900000,00000	379,00000	900000,00000	9,00000	
1000000,00000	11,00000	1000000,00000	469,00000	1000000,00000	12,00000	
2000000,00000	23,00000	2000000,00000	839,00000	2000000,00000	20,00000	
3000000,00000	38,00000	3000000,00000	1279,00000	3000000,00000	42,00000	
4000000,00000	45,00000	4000000,00000	1890,00000	4000000,00000	57,00000	
5000000,00000	73,00000	5000000,00000	2525,00000	5000000,00000	68,00000	
6000000,00000	68,00000	6000000,00000	2945,00000	6000000,00000	75,00000	
7000000,00000	85,00000	7000000,00000	3249,00000	7000000,00000	82,00000	
8000000,00000	92,00000	8000000,00000	3704,00000	8000000,00000	92,00000	
9000000,00000	99,00000	9000000,00000	4043,00000	9000000,00000	108,00000	
10000000,00000	120,00000	10000000,00000	4562,00000	10000000,00000	116,00000	
