#
# M e s s w e r t t a b e l l e  der Reihen:
#
# cudatsa.rng.RNGModuleACMR [33,33] Werte
# cudatsa.rng.RNGModuleACMS [33,33] Werte
# cudatsa.rng.RNGModuleJUR [33,33] Werte
# cudatsa.rng.RNGModuleCUDA [33,33] Werte
#
#
#x	y	x	y	x	y	x	y	
100.00000	0.10000	100.00000	0.20000	100.00000	0.00000	100.00000	153.10000	
500.00000	0.10000	500.00000	0.60000	500.00000	0.10000	500.00000	58.10000	
1000.00000	0.00000	1000.00000	0.60000	1000.00000	0.00000	1000.00000	53.00000	
2500.00000	0.00000	2500.00000	1.20000	2500.00000	0.10000	2500.00000	51.80000	
5000.00000	0.00000	5000.00000	2.50000	5000.00000	0.10000	5000.00000	50.40000	
7500.00000	0.00000	7500.00000	4.10000	7500.00000	0.00000	7500.00000	53.70000	
10000.00000	0.20000	10000.00000	4.60000	10000.00000	0.30000	10000.00000	48.70000	
20000.00000	0.40000	20000.00000	9.20000	20000.00000	0.30000	20000.00000	46.00000	
30000.00000	0.40000	30000.00000	13.10000	30000.00000	0.40000	30000.00000	40.90000	
40000.00000	0.40000	40000.00000	17.60000	40000.00000	0.50000	40000.00000	43.40000	
50000.00000	0.40000	50000.00000	20.60000	50000.00000	0.70000	50000.00000	43.00000	
60000.00000	0.80000	60000.00000	24.70000	60000.00000	0.70000	60000.00000	37.50000	
70000.00000	0.90000	70000.00000	30.00000	70000.00000	0.70000	70000.00000	43.30000	
80000.00000	1.10000	80000.00000	33.90000	80000.00000	0.80000	80000.00000	40.70000	
90000.00000	1.20000	90000.00000	37.40000	90000.00000	1.10000	90000.00000	36.00000	
100000.00000	1.00000	100000.00000	43.40000	100000.00000	1.20000	100000.00000	39.50000	
200000.00000	2.60000	200000.00000	82.20000	200000.00000	2.50000	200000.00000	39.50000	
300000.00000	3.70000	300000.00000	123.80000	300000.00000	3.20000	300000.00000	38.30000	
400000.00000	4.80000	400000.00000	161.70000	400000.00000	4.90000	400000.00000	40.80000	
500000.00000	6.50000	500000.00000	203.70000	500000.00000	5.30000	500000.00000	40.30000	
600000.00000	8.00000	600000.00000	249.80000	600000.00000	6.40000	600000.00000	35.60000	
700000.00000	9.00000	700000.00000	298.00000	700000.00000	8.20000	700000.00000	35.40000	
800000.00000	10.10000	800000.00000	337.40000	800000.00000	9.60000	800000.00000	38.00000	
900000.00000	11.70000	900000.00000	367.40000	900000.00000	9.60000	900000.00000	37.10000	
1000000.00000	12.60000	1000000.00000	418.80000	1000000.00000	12.30000	1000000.00000	39.60000	
2000000.00000	26.30000	2000000.00000	870.80000	2000000.00000	23.70000	2000000.00000	53.50000	
3000000.00000	39.20000	3000000.00000	1323.60000	3000000.00000	36.50000	3000000.00000	36.90000	
4000000.00000	50.90000	4000000.00000	1755.40000	4000000.00000	47.20000	4000000.00000	40.10000	
5000000.00000	64.60000	5000000.00000	2170.20000	5000000.00000	61.60000	5000000.00000	42.80000	
6000000.00000	78.00000	6000000.00000	2607.80000	6000000.00000	71.10000	6000000.00000	45.80000	
7000000.00000	90.50000	7000000.00000	3001.30000	7000000.00000	82.20000	7000000.00000	52.00000	
8000000.00000	99.90000	8000000.00000	3426.30000	8000000.00000	91.70000	8000000.00000	59.00000	
9000000.00000	113.60000	9000000.00000	3825.40000	9000000.00000	103.20000	9000000.00000	70.10000	
